model,outer_fold,context_id,output,feature,feature_family,shapley_value,baseline_output,full_output,completeness_residual,feature_value,feature_value_semantics,feature_value_percentile
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_SA,solvent,-0.0034291064088661,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-0.2900198996067047,standardized solvent value,0.7225
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_delta_d,solvent,-0.0222402540241268,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.9845589995384216,standardized solvent value,0.9825
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_delta_p,solvent,-0.0049052436383992,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.65119469165802,standardized solvent value,0.5125
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_delta_h,solvent,-0.0024274242869531,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-0.0908051580190658,standardized solvent value,0.7125
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_delta,solvent,0.0006305699120829,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.0887895077466964,standardized solvent value,0.7225
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::identity,solvent,0.1899768840726894,1.1602287533100166,1.371748084781501,2.775557561562892e-17,,categorical vocabulary index; color disabled,
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,context::formal_charge,formal charge,-0.0790449932294829,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-1.384421467781067,standardized molecular formal charge,0.2125
joint model,0,context:3ea3a9a7593a86fbafa8a68c,site-ranking logit contrast,local::alpb_fukui_minus_density,local electronic,0.0139105240581741,3.101786000796528,3.1521830027651987,0.0,0.1819274127483368,mean standardized node value,0.5575
joint model,0,context:3ea3a9a7593a86fbafa8a68c,site-ranking logit contrast,local::alpb_cm5,local electronic,-0.1287319801878933,3.101786000796528,3.1521830027651987,0.0,0.0559957735240459,mean standardized node value,0.6675
joint model,0,context:3ea3a9a7593a86fbafa8a68c,site-ranking logit contrast,local::alpb_condensed_softness,local electronic,0.0107632748535642,3.101786000796528,3.1521830027651987,0.0,-0.0664945840835571,mean standardized node value,0.3375
joint model,0,context:3ea3a9a7593a86fbafa8a68c,site-ranking logit contrast,local::alpb_condensed_nucleophilicity_index_ev,local electronic,0.0417713764744548,3.101786000796528,3.1521830027651987,0.0,0.3225784003734588,mean standardized node value,0.7475
joint model,0,context:3ea3a9a7593a86fbafa8a68c,site-ranking logit contrast,global::alpb_homo_n_hartree,global electronic,0.0525301135219861,3.101786000796528,3.1521830027651987,0.0,0.7372986078262329,standardized molecular value,0.7875
