model,outer_fold,context_id,connectivity_id,output,pathway,shapley_value,pathway_value,pathway_value_semantics,baseline_output,full_output,completeness_residual,pathway_value_percentile,pathway_value_color_semantics
joint model,3,context:239c209644a459769d7a4e4e,VHYFNPMBLIVWCW,conditional N,molecular formal charge,-1.59043780963,0.641922056675,standardized signed scalar,17.1703262329,15.9949534734,0,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:23a0d9198dfa8cc8d477f985,ARKOCDVCEWZODQ,conditional N,molecular formal charge,2.33889202277,-1.42649352551,standardized signed scalar,3.48477840424,7.21107562383,-8.881784197e-16,0.046783625731,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:23a2be1f8e5f7b9a4f245658,RGUKYNXWOWSRET,conditional N,molecular formal charge,-2.15637821621,0.664344012737,standardized signed scalar,19.9760367076,15.6314535141,0,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:23d73c4048189eec05ae404a,BAYGVMXZJBFEMB,conditional N,molecular formal charge,-1.14829413096,-1.35931360722,standardized signed scalar,19.3427651723,21.8762760162,0,0.289473684211,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:23e15683143e8a56167f25e8,SPBRYLXACBPZLU,conditional N,molecular formal charge,2.04449990061,-1.40662312508,standardized signed scalar,7.06683365504,7.48351256053,-8.881784197e-16,0.115497076023,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:240fd2ffad6a938368e2f5c3,NRMQMTQTYONMFY,conditional N,molecular formal charge,-0.569465663698,-1.38442146778,standardized signed scalar,16.0978883108,22.7669563293,0,0.234892787524,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:241b2f4e6f4b8f02767793f0,VXWVFZFZYXOBTA,conditional N,molecular formal charge,0.0290903780195,0.683384299278,standardized signed scalar,13.7494564056,4.907878081,8.881784197e-16,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:241eb9ff18fe66fb1ceef540,HVLLSGMXQDNUAL,conditional N,molecular formal charge,-2.63185307715,0.664344012737,standardized signed scalar,20.1312739054,10.8487113317,1.7763568394e-15,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:244ce1f3736a92f31366b4e5,BKSCHYJRFHICHN,conditional N,molecular formal charge,1.27964764171,-1.39637601376,standardized signed scalar,8.49086443583,15.9020862579,0,0.176900584795,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:247d7f9786c0a311bc0f8cd9,QTCAPCHXGMZXKA,conditional N,molecular formal charge,-1.42783660359,0.641922056675,standardized signed scalar,17.1856975555,14.7298666636,0,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:24a5f8cfdcaae49d1c6f7ea5,CROBTXVXNQNKKO,conditional N,molecular formal charge,2.67746195528,-1.39637601376,standardized signed scalar,-1.2329676946,12.5562388102,0,0.176900584795,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:24b54ae6de2992d22011bc0b,RTZKZFJDLAIYFH,conditional N,molecular formal charge,1.71200784047,0.683384299278,standardized signed scalar,0.220796267192,-4.0538110733,8.881784197e-16,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:2598383d39d2588da12e755f,NSVNNAPWCRPQDR,conditional N,molecular formal charge,2.79248608483,-1.39637601376,standardized signed scalar,0.765582720439,9.16727892558,0,0.176900584795,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:262a59d32ff72e5330833bea,FFEARJCKVFRZRR,conditional N,molecular formal charge,-0.276091443168,-1.42649352551,standardized signed scalar,14.6203365326,13.7650114695,0,0.046783625731,"within-pathway empirical percentile; color only, not a model output"
